code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
000624,57731-FL082,სანისლე ბუდე (RH),Subaru,Crosstrek,Crosstrek 18-,TYG,134,40.0,GEL
000625,59110FL01APFM,პადკრილნიკი (LH),Subaru,Impreza,Impreza 17-19,TYG,8,40.0,GEL
000626,59110FL00APFM,პადკრილნიკი (RH),Subaru,Impreza,Impreza 17-19,TYG,17,40.0,GEL
000627,56410FL00A,ძრავის დამცავი,Subaru,Crosstrek,Crosstrek 18-,TYG,80,50.0,GEL
000628,56410SJ010,ძრავის დამცავი,Subaru,Forester,Forester 19-,TYG,56,120.0,GEL
000629,91036SG922PFM,სარკე BSD უპავაროდნიკო (LH),Subaru,Forester,Forester 12-18,TYG,8,260.0,GEL
000630,91036SG932PFM,სარკე BSD უპავაროდნიკო (RH),Subaru,Forester,Forester 12-18,TYG,19,260.0,GEL
000631,91036AL80APFM,სარკე პრასტოი (LH),Subaru,Outback,Outback 18-19,TYG,3,250.0,GEL
000632,91036AL81APFM,სარკე პრასტოი (RH),Subaru,Outback,Outback 18-19,TYG,4,250.0,GEL
000633,53811-0R130-PFM,წინა კრილო (RH),Toyota_Old,Toyota_Old,RAV4 2019-2025,TYG,0,,GEL
000634,53812-0R110-PFM,წინა კრილო (LH),Toyota_Old,Toyota_Old,RAV4 2019-2025,TYG,0,,GEL
000635,53301-42120,კაპოტი,Toyota_Old,Toyota_Old,RAV4 2013-2018,TYG,0,,GEL
000636,57702XC00A,უკანა ბამპერი პარკინგით,Subaru,Ascent,Ascent 19-,TYG,50,420.0,GEL
000637,91121AN01A,ცხაურა (შავი),Subaru,Legacy,Legacy 20-,TYG,0,350.0,GEL
000638,91121AN02A,ცხაურა (ქრომი),Subaru,Legacy,Legacy 20-,TYG,7,350.0,GEL
000639,84501AN000,ლედ ტუმანიკი (RH),Subaru,Outback,Outback 20-,Suo Lun,58,130.0,GEL
000640,84501AN010,ლედ ტუმანიკი (LH),Subaru,Outback,Outback 20-,Suo Lun,58,130.0,GEL
000641,57731AN03A,ბამპერის ქვედა ბადე,Subaru,Outback,Outback 20-,Suo Lun,53,45.0,GEL
000642,91112AN08A,უკანა კრილოს მოლდინგი (RH),Subaru,Outback,Outback 20-,Suo Lun,69,80.0,GEL
000643,91112AN09A,უკანა კრილოს მოლდინგი (LH),Subaru,Outback,Outback 20-,Suo Lun,69,80.0,GEL
000644,57756AN31A,უკანა ბამპერის მოლდინგი (RH),Subaru,Outback,Outback 20-,Suo Lun,93,25.0,GEL
000645,57756AN32A,უკანა ბამპერის მოლდინგი (LH),Subaru,Outback,Outback 20-,Suo Lun,98,25.0,GEL
