row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
3412,no,003541,527110R080B0,წინა ბამპერის ქვედა ტუჩი,Toyota,RAV4,RAV-4 '19-,TYG,0,,GEL
3413,no,003542,531240R040,ცხაურის მოლდინგი (LH),Toyota,RAV4,RAV-4 '19-,TYG,0,,GEL
3414,no,003543,531230R050,ცხაურის მოლდინგი (RH),Toyota,RAV4,RAV-4 '19-,TYG,0,,GEL
3415,no,003544,64101K5000,ეკრანი,Hyundai,Santa Cruz,SANT CUZ '22-,TYG,0,,GEL
3416,no,003545,86812K5000,პადკრილნიკი (RH),Hyundai,Santa Cruz,SANT CUZ '22-,TYG,0,,GEL
3417,no,003546,64101AB000,ეკრანი,Hyundai,Elantra,ELNTR '21-,TYG,0,,GEL
3418,no,003547,53801F6010PFM,წინა კრილო (RH) რკინა,Lexus,NX,NX '22-,TYG,0,,GEL
3419,no,003548,53802F6010PFM,წინა კრილო (LH) რკინა,Lexus,NX,NX '22-,TYG,0,,GEL
3420,no,003549,KMV652110B,წინა კრილო (RH),Mazda,CX90,CX.90 MILD/PHEV '24-,TYG,0,,GEL
3421,no,003550,57229SL0009P,კაპოტი (ალუმინი),Subaru,Forester,Forester 25-,TYG,0,,GEL
3422,no,003551,KBB356113A,ძრავის დამცავი წინა,Mazda,CX90,CX.90 MILD/PHEV '24-,TYG,0,,GEL
3423,no,003552,76841TVAA01PFM,წყლის ავზი - ზბორი,Honda,Accord,ACOD '18-'22,TYG,0,,GEL
3424,no,003553,74150TVAA00,პადკრილნიკი (LH),Honda,Accord,ACOD '18-'22,TYG,0,,GEL
3425,no,003554,74100TVAA00,პადკრილნიკი (RH),Honda,Accord,ACOD '18-'22,TYG,0,,GEL
3426,no,003555,KMY650030,წინა ბამპერი,Mazda,CX90,CX.90 MILD/PHEV '24-,TYG,0,,GEL
3427,no,003556,KMV650060,მატორის დამცავი უკანა,Mazda,CX90,CX.90 MILD/PHEV '24-,TYG,0,,GEL
3428,no,003557,KMV7501T0A,წინა ბამპერის ქვედა ბადე - დახურული,Mazda,CX90,CX.90 MILD/PHEV '24-,TYG,0,,GEL
3429,no,003558,853150E150PFM,წყლის ავზი - ზბორი,Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,0,,GEL
3430,no,003559,53805-0E170,პადკრილნიკი (RH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,0,,GEL
3431,no,003560,538060E170,პადკრილნიკი (LH),Toyota,Highlander,HIGHLAND/HIGHLAND HYBRID '20-,TYG,0,,GEL
3432,no,003561,7123030AA01,წინა ბამპერის სალასკა (RH),Honda,Accord,ACOD '23-,TYG,0,,GEL
3433,no,003562,7128030AA01,წინა ბამპერის სალასკა (LH),Honda,Accord,ACOD '23-,TYG,0,,GEL
