row,is_original_text_match,code,oem,name,brand,model,generation,manufacturer,qty,dealer_price,currency
360,no,000632,91036AL81APFM,სარკე პრასტოი (RH),Subaru,Outback,Outback 18-19,TYG,4,250.0,GEL
361,no,000636,57702XC00A,უკანა ბამპერი პარკინგით,Subaru,Ascent,Ascent 19-,TYG,50,420.0,GEL
362,no,000638,91121AN02A,ცხაურა (ქრომი),Subaru,Legacy,Legacy 20-,TYG,7,350.0,GEL
363,no,000639,84501AN000,ლედ ტუმანიკი (RH),Subaru,Outback,Outback 20-,Suo Lun,87,130.0,GEL
364,no,000640,84501AN010,ლედ ტუმანიკი (LH),Subaru,Outback,Outback 20-,Suo Lun,88,130.0,GEL
365,no,000641,57731AN03A,ბამპერის ქვედა ბადე,Subaru,Outback,Outback 20-,Suo Lun,102,45.0,GEL
366,no,000642,91112AN08A,უკანა კრილოს მოლდინგი (RH),Subaru,Outback,Outback 20-,Suo Lun,69,80.0,GEL
367,no,000643,91112AN09A,უკანა კრილოს მოლდინგი (LH),Subaru,Outback,Outback 20-,Suo Lun,69,80.0,GEL
368,no,000644,57756AN31A,უკანა ბამპერის მოლდინგი (RH),Subaru,Outback,Outback 20-,Suo Lun,93,25.0,GEL
369,no,000645,57756AN32A,უკანა ბამპერის მოლდინგი (LH),Subaru,Outback,Outback 20-,Suo Lun,98,25.0,GEL
370,no,000646,57731AN01A,წინა საბუქსირე ხუფი,Subaru,Outback,Outback 20-,Suo Lun,1,10.0,GEL
371,no,000647,86631AN00A,წყლის ავზი,Subaru,Outback,Outback 20-,Suo Lun,54,80.0,GEL
372,no,000648,84281SC000,უკანა ამრეკლი (RH),Subaru,Forester,Forester 12-18,Suo Lun,35,10.0,GEL
373,no,000649,84281SC010,უკანა ამრეკლი (LH),Subaru,Forester,Forester 12-18,Suo Lun,18,10.0,GEL
374,no,000650,91112SG222,წინა კარის მოლდინგი ტოურინგი (RH),Subaru,Forester,Forester 12-18,Suo Lun,5,150.0,GEL
375,no,000651,91112SG232,წინა კარის მოლდინგი ტურინგი (LH),Subaru,Forester,Forester 12-18,Suo Lun,1,150.0,GEL
376,no,000652,91112SG242,უკანა კარის მოლდინგი ტოურინგი (RH),Subaru,Forester,Forester 12-18,Suo Lun,6,140.0,GEL
377,no,000653,91112SG252,უკანა კარის მოლდინგი ტოურინგი (LH),Subaru,Forester,Forester 12-18,Suo Lun,1,140.0,GEL
378,no,000654,45052SG000,ჰაერის ფილტრის წინა ხუფი,Subaru,Forester,Forester 12-18,Suo Lun,3,30.0,GEL
379,no,000655,91121SJ140,ქვედა ცხაურა - Sport standart,Subaru,Forester,Forester 19-,Suo Lun,6,110.0,GEL
380,no,000656,57734SJ090,წინა ბამპერის ქვედა ტუჩი (Sport),Subaru,Forester,Forester 22-,Suo Lun,17,80.0,GEL
381,no,000661,20202FL030,წინა გიტარა (LH),Subaru,Crosstrek,Crosstrek 18-,Suo Lun,24,110.0,GEL
382,no,000662,57731-FL092,სანისლე ბუდე (LH),Subaru,Crosstrek,Crosstrek 18-,TYG,154,40.0,GEL
383,no,000663,57707FL050,წინა კრილოს სალასკა (LH),Subaru,Crosstrek,Crosstrek 18-,TYG,295,15.0,GEL
384,no,000664,57707FL040,წინა კრილოს სალასკა (RH),Subaru,Crosstrek,Crosstrek 18-,TYG,302,15.0,GEL
385,no,000665,57707SJ030,წინა კრილოს სალასკა (LH),Subaru,Forester,Forester 19-,TYG,265,17.0,GEL
386,no,000666,57707SJ020,წინა კრილოს სალასკა (RH),Subaru,Forester,Forester 19-,TYG,270,17.0,GEL
387,no,000667,57707SJ010,წინა ფარის სალასკა (LH),Subaru,Forester,Forester 19-,TYG,171,35.0,GEL
388,no,000668,57707SJ000,წინა ფარის სალასკა (RH),Subaru,Forester,Forester 19-,TYG,177,35.0,GEL
389,no,000669,57707AL01A,წინა ფარის სალასკა (LH),Subaru,Outback,Outback 15-17,TYG,120,30.0,GEL
390,no,000670,57707AL00A,წინა ფარის სალასკა (RH),Subaru,Outback,Outback 15-17,TYG,131,30.0,GEL
391,no,000672,5C6805911/912F-R,პადკრილნიკი (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,106,25.0,GEL
392,no,000673,5C6805911/912F-L,პადკრილნიკი (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,37,25.0,GEL
393,no,000674,5c6 807 217 m,წინა ბამპერი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,132,70.0,GEL
394,no,000675,5C6 853 671,წინა ბამპერის ქვედა ბადე,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,88,23.0,GEL
395,no,000676,5C6 807 241F,წინა ბამპერის საბუქსირე,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,166,8.0,GEL
396,no,000677,CJA-TG17-001-R,უკანა ბამპერის სალასკა (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,38,15.0,GEL
397,no,000678,CJA-TG17-001-L,უკანა ბამპერის სალასკა (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,31,15.0,GEL
398,no,000679,1kd945105-R,უკანა ბამპერის ამრეკლი (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,71,15.0,GEL
399,no,000680,1kd945105-L,უკანა ბამპერის ამრეკლი (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,75,15.0,GEL
400,no,000681,5C7 941 699P/700P-R,სანისლე ფარი (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,90,25.0,GEL
401,no,000682,5C7 941 699P/700P-L,სანისლე ფარი (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,90,25.0,GEL
402,no,000683,5C6 805 903J,წინა ბამპერის სპოილერი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,84,18.0,GEL
403,no,000684,036129611,"ჰაერის ფილტრის ყუთი 1,4L",Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,148,35.0,GEL
404,no,000685,038129620m,"ჰაერის ფილტრის ყუთი 1,8L",Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,5,55.0,GEL
405,no,000686,5G0 955 453J,წყლის ავზი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,70,25.0,GEL
406,no,000687,16D853665A0-L,სანისლე ბუდე (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,106,10.0,GEL
407,no,000688,16D853665A0-R,სანისლე ბუდე (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,118,10.0,GEL
408,no,000689,16D805705,ცხაურის სამაგრი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,157,15.0,GEL
409,no,000690,5C6807184A-R,კრილოს სალასკა (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,60,8.0,GEL
410,no,000691,5C6807184A-L,კრილოს სალასკა (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,62,8.0,GEL
411,no,000692,5C6 805 588,ეკრანი,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,2,35.0,GEL
412,no,000693,5C6 807 109,წინა ბალკა,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,84,60.0,GEL
413,no,000694,5C6 805 931/932-R,წინა ფარის სალასკა (RH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,22,13.0,GEL
414,no,000695,5C6 805 931/932-L,წინა ფარის სალასკა (LH),Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,26,13.0,GEL
415,no,000696,5C6 853 651AJ/AH,ცხაურა,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,71,55.0,GEL
416,no,000697,5C6 853 651AJ/AH,ცხაურა GLI,Volkswagen,Jetta,VW Jetta 15-18,Suo Lun,30,80.0,GEL
417,no,000698,jta2019-3-R,უკანა ბაბმპერის ამრეკლი (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,67,15.0,GEL
418,no,000699,jta2019-3-L,უკანა ბაბმპერის ამრეკლი (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,66,15.0,GEL
419,no,000701,17G807241,წინა ბამპერის საბუქსირე,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,199,8.0,GEL
420,no,000702,jta2019-4-R,უკანა ბამპერის სალასკა (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,35,20.0,GEL
421,no,000703,jta2019-4-L,უკანა ბამპერის სალასკა (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,18,20.0,GEL
422,no,000705,17A805911B-R,პადკრილნიკი (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,53,25.0,GEL
423,no,000706,17A805911B-L,პადკრილნიკი (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,72,25.0,GEL
424,no,000707,5Q0825236,ძრავის დამცავი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,241,23.0,GEL
425,no,000708,5QM 129 607A,ჰაერის ფილტრის ყუთი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,14,55.0,GEL
426,no,000709,17A805588EF,ეკრანი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,126,45.0,GEL
427,no,000710,5QM129618c,ჰაერის შემკრები გრძელი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,71,25.0,GEL
428,no,000711,17A805931A\932A-R,წინა ფარის სალასკა (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,14,15.0,GEL
429,no,000712,17A805931A\932A-L,წინა ფარის სალასკა (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,45,15.0,GEL
430,no,000713,17G807109,წინა ბალკა,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,86,60.0,GEL
431,no,000714,17A 853651E,ცხაურა,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,54,80.0,GEL
432,no,000715,1kd915333,აკუმულიატორის სადგამი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,14,20.0,GEL
433,no,000716,17g806929-R,წინა კრილოს სალასკა (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,63,8.0,GEL
434,no,000717,17g806929-L,წინა კრილოს სალასკა (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,64,8.0,GEL
435,no,000718,17G854321/322-R,სანისლე ბუდის წარბი (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,182,10.0,GEL
436,no,000719,17G854321/322-L,სანისლე ბუდის წარბი (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,181,10.0,GEL
437,no,000720,17A805705E,ცხაურის სამაგრი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,163,17.0,GEL
438,no,000721,17G807221,წინა ბამპერი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,161,75.0,GEL
439,no,000722,17A 805 915,წინა ბამპერის სპოილერი,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,75,25.0,GEL
440,no,000723,17G853671,წინა ბამპერის ქვედა ბადე,Volkswagen,Jetta,VW Jetta 19-,Suo Lun,39,25.0,GEL
441,no,000724,17G941661A\62-R,სანისლე ფარი (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,104,27.0,GEL
442,no,000725,17G941661A\62-L,სანისლე ფარი (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,81,27.0,GEL
443,no,000726,17G853665-R,სანისლე ბუდე ღია (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,41,12.0,GEL
444,no,000727,17G853665-L,სანისლე ბუდე ღია (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,39,12.0,GEL
445,no,000728,17G853665,სანისლე ბუდე ზაგლუშკით (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,42,12.0,GEL
446,no,000729,17G853665,სანისლე ბუდე ზაგლუშკით (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,39,12.0,GEL
447,no,000730,17a807723\724-R,წიმა ბამპერის დამჭერი (RH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,75,18.0,GEL
448,no,000731,17a807723\724-L,წიმა ბამპერის დამჭერი (LH),Volkswagen,Jetta,VW Jetta 19-,Suo Lun,87,18.0,GEL
